cluster,kraken_id,smiles,cas,supplier,notes,pat
0,280,Cc1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C,255837-19-5,,,
29,351,CCP(CC)c1ccc(N(C)C)cc1,17005-57-1,,,
30,338,c1ccc(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)c(N2CCCCC2)c1,1237588-13-4,,,
62,310,COc1ccccc1-n1cccc1P(C(C)(C)C)C(C)(C)C,1053658-91-5,,,
32,728,CCO[Si](CCCP(c1ccccc1)c1ccccc1)(OCC)OCC,52090-23-0,,,
33,25,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,819867-23-7,,,
34,401,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1,1632119-18-6,,,
36,369,CCCCc1c(F)c(F)c(-c2c(C(C)C)cc(C(C)C)c(-c3cccc(OC)c3P(C34CC5CC(CC(C5)C3)C4)C34CC5CC(CC(C5)C3)C4)c2C(C)C)c(F)c1F,1805783-60-1,,,
37,285,CC(C)(C)P(C(C)(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,223655-16-1,,,
38,292,CC(C)(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)(C)C,894086-00-1,,,
39,1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,564483-18-7,,,
40,88,CCCCP(C(C)(C)C)C(C)(C)C,1816254-91-7,,hbf4,
42,102,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,1070663-78-3,,,
43,1297,CC(C)(C)PC(C)(C)C,819-19-2,,,
45,327,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,1021176-69-1,,,
46,314,c1ccc(-n2c(P(C3CCCCC3)C3CCCCC3)cc3ccccc32)cc1,740815-36-5,,,
49,364,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(OC(C)C)cccc1OC(C)C,1810068-31-5,,,
50,216,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,932710-63-9,,,
51,3,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,657408-07-6,,,
52,366,c1ccc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,2704372-77-8,,,
53,251,C=CCP(CC=C)CC=C,16523-89-0,,,
54,534,COc1c(C)c(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(P(C(C)(C)C)C(C)(C)C)c1C,1359986-21-2,,,
56,125,Fc1c(F)c(F)c(P(c2ccccc2)c2ccccc2)c(F)c1F,5525-95-1,,,
59,329,Cn1c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc2ccccc21,1067883-58-2,,,
28,734,COc1ccccc1-c1c(P(c2ccccc2)c2ccccc2)c2ccccc2n1C,1242759-01-8,,,
26,217,Cc1ccc(N2CN(c3ccc(C)cc3)CP(c3ccccc3)C2)cc1,72897-07-5,,,
31,239,CCCCCCCCP(CCCCCCCC)CCCCCCCC,4731-53-7,,,
10,117,Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,1031-93-2,,,
1,233,Clc1cccc(P(c2cccc(Cl)c2)c2cccc(Cl)c2)c1,29949-85-7,,,
3,328,CC(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,1202865-62-0,,,
6,302,COc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,255835-82-6,,,
7,1900,COc1ccc(OC)c(P2C(C)(C)CC3(CC2(C)C)OCCO3)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,1355318-22-7,,,
8,84,C=CCP(c1ccccc1)c1ccccc1 ,2741-38-0,,,
25,66,CCP(C1CCCCC1)C1CCCCC1,1215113-73-7,,,
11,262,c1ccc(P(c2ccccc2)c2ccc3ccc4cccc5ccc2c3c45)cc1 ,110231-30-6,,,
12,243,C1N2CN3CN1CP(C2)C3,53597-69-6,,,
15,276,CC(C)(C)P(c1ccc2ccccc2c1-c1cccc2ccccc12)C(C)(C)C,255836-67-0,,,
63,16,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,13406-29-6,,,
21,12,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,886059-84-3,,hbf4,
24,54,c1coc(P(c2ccco2)c2ccco2)c1,5518-52-5,,,
19,723,COc1cccc(OC)c1-c1cccc2c1P(C(C)(C)C)CO2,1246888-90-3,,,
16,795,O=C(O)c1cccc(P(c2cccc(C(F)(F)F)c2)c2cccc(C(F)(F)F)c2)c1,1808959-38-7,,,
18,477,CCCCCP(CCCCC)N(CC)CC,4706-17-6,,,n
4,1606,CCCCc1ccc(S(=O)(=O)NP(c2ccccc2)c2ccccc2)cc1,1025096-61-0,,,n
20,649,CC(C)N(C(C)C)P(OCCC#N)N(C(C)C)C(C)C,102691-36-1,,,n2o
13,645,CCCN(CCC)P(N(CCC)CCC)N(CCC)CCC,5848-64-6,,,n3
60,685,CC(C)N(C(C)C)P(OCC[Si](C)(C)C)OCC[Si](C)(C)C,121373-20-4,,,no2
57,498,CN(C)P1Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1,443965-14-8,,,no2
27,652,CN(C)P(OCc1ccccc1)OCc1ccccc1,164654-49-3,,,no2
44,639,CCOP1OCCN1c1ccccc1,5679-72-1,,,no2
35,710,CC1(C)O[C@@H]2[C@@H](O1)C(c1ccccc1)(c1ccccc1)OP(N1c3ccccc3C=Cc3ccccc31)OC2(c1ccccc1)c1ccccc1,1092695-14-1,,,no2
55,138,COP(c1ccccc1)c1ccccc1,4020-99-9,,,o
2,141,c1ccc(OP(c2ccccc2)c2ccccc2)cc1,13360-92-4,,,o
14,313,CCOP(Cc1ccc([N+](=O)[O-])cc1)OCC,1053660-75-5,,,o2
47,653,COP(Oc1ccccc1)Oc1ccccc1,3577-87-5,,,o3
9,550,ClCCOP(OCCCl)OCCCl,140-08-9,,,o3
22,873,CC(C)(C)COP(OCC(C)(C)C)OCC(C)(C)C,14540-52-4,,,o3
5,148,CCOP(OCC)OCC,122-52-1,,,o3
23,644,CC1(C)COP(Oc2ccccc2)OC1, 3057-08-7,,,o3
58,150,CCCCOP(OCCCC)OCCCC,102-85-2,,,o3
41,149,CC(C)OP(OC(C)C)OC(C)C,116-17-6,,,o3
61,389,Cc1ccc(OP(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,620-42-8,,,o3
17,445,CCC12COP(OC1)OC2,824-11-3,,,o3
48,110,C[Si](C)(C)P([Si](C)(C)C)[Si](C)(C)C,15573-38-3,,,si3
